No.,Time,Source,Destination,Protocol,Length,Info
1,0,172.16.64.10,10.80.0.50,TDS,93,Response
2,0.000115,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
4,0.039881,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=40 Ack=1167 Win=2981 Len=0
6,0.082339,172.16.64.10,10.80.0.50,TDS,93,Response
7,0.08246,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
8,0.123027,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=79 Ack=2333 Win=2981 Len=0
9,0.164137,172.16.64.10,10.80.0.50,TDS,93,Response
10,0.16425,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
12,0.203922,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=118 Ack=3499 Win=2981 Len=0
13,0.248713,172.16.64.10,10.80.0.50,TDS,93,Response
14,0.248896,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
15,0.289033,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=157 Ack=4665 Win=2981 Len=0
16,0.331489,172.16.64.10,10.80.0.50,TDS,93,Response
17,0.331619,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
19,0.37203,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=196 Ack=5831 Win=2981 Len=0
20,0.417053,172.16.64.10,10.80.0.50,TDS,93,Response
21,0.41721,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
22,0.457022,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=235 Ack=6997 Win=2981 Len=0
24,0.500315,172.16.64.10,10.80.0.50,TDS,93,Response
25,0.500494,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
26,0.540985,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=274 Ack=8163 Win=2981 Len=0
27,0.582057,172.16.64.10,10.80.0.50,TDS,93,Response
28,0.582173,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
29,0.621996,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=313 Ack=9329 Win=2981 Len=0
30,0.667187,172.16.64.10,10.80.0.50,TDS,93,Response
31,0.667356,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
32,0.707971,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=352 Ack=10495 Win=2981 Len=0
33,0.750317,172.16.64.10,10.80.0.50,TDS,93,Response
34,0.750444,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
